payload_detail	payload	response	response_detail	statelist	unique_response
b'100f00044d51545404001a710003686d59783c0b000558675046791d73444f46a2e3'	b'\x10\x0f\x00\x04MQTT\x04\x00\x1aq\x00\x03hmYx<\x0b\x00\x05XgPFy\x1dsDOF\xa2\xe3'	b' \x02\x00\x00'	b'20020000'	[]	2
b'101100044d5154540400411f00057969727558380800026b614448506ab475386f3300'	b'\x10\x11\x00\x04MQTT\x04\x00A\x1f\x00\x05yiruX8\x08\x00\x02kaDHPj\xb4u8o3\x00'	b' \x02\x00\x00'	b'20020000'	[]	2
b'101100064d51497364700300c73a0003464332300f0006475475344d416c6e346348556dc0'	b'\x10\x11\x00\x06MQIsdp\x03\x00\xc7:\x00\x03FC20\x0f\x00\x06GTu4MAln4cHUm\xc0'	b' \x02\x00\x00'	b'20020000'	[]	2
b'100c00044d5154540400c24f00009b214190340c000658496d31757100576d424aa5be'	b'\x10\x0c\x00\x04MQTT\x04\x00\xc2O\x00\x00\x9b!A\x904\x0c\x00\x06XIm1uq\x00WmBJ\xa5\xbe'	b' \x02\x00\x02'	b'20020002'	[]	2
b'100c2d545454040292f7000276764b4d733d120008724e50556a53481f104f695257a0'	b'\x10\x0c-TTT\x04\x02\x92\xf7\x00\x02vvKMs=\x12\x00\x08rNPUjSH\x1f\x10OiRW\xa0'	b''	b''	[]	3
b'101100044d5154540402c14b00056648733079350e00035a555551c047566f326454515473'	b'\x10\x11\x00\x04MQTT\x04\x02\xc1K\x00\x05fHs0y5\x0e\x00\x03ZUUQ\xc0GVo2dTQTs'	b' \x02\x00\x00'	b'20020000'	[]	3
b'100d00044d51545404023964000171001900003010000a6f78777841746c71504c5a41f970'	b'\x10\r\x00\x04MQTT\x04\x029d\x00\x01q\x00\x19\x00\x000\x10\x00\noxwxAtlqPLZA\xf9p'	b' \x02\x00\x00'	b'20020000'	[]	3
b'100e00044d5154540400b92700027a7067983d0d000671363649696cc153744a4246fcc0'	"b""\x10\x0e\x00\x04MQTT\x04\x00\xb9'\x00\x02zpg\x98=\r\x00\x06q66Iil\xc1StJBF\xfc\xc0"""	b' \x02\x00\x00'	b'20020000'	[]	3
b'101100044d5154540402cb7b000579304c364a340c0008723079634f6155438a344ec900'	b'\x10\x11\x00\x04MQTT\x04\x02\xcb{\x00\x05y0L6J4\x0c\x00\x08r0ycOaUC\x8a4N\xc9\x00'	b' \x02\x00\x00'	b'20020000'	[]	3
b'101000064d51497364700302f2ff0002686df5390400014836b1d0850e480a064b'	b'\x10\x10\x00\x06MQIsdp\x03\x02\xf2\xff\x00\x02hm\xf59\x04\x00\x01H6\xb1\xd0\x85\x0eH\n\x06K'	b' \x02\x00\x00'	b'20020000'	[]	3
b'101200064d51497364700300de7a000442537357300900055a555679686f48173ba80ed0'	b'\x10\x12\x00\x06MQIsdp\x03\x00\xdez\x00\x04BSsW0\t\x00\x05ZUVyhoH\x17;\xa8\x0e\xd0'	b' \x02\x00\x00'	b'20020000'	[]	3
b'101100064d514973647003004d1b0003526e583412000830704e6c51535134700f4d4970c4'	b'\x10\x11\x00\x06MQIsdp\x03\x00M\x1b\x00\x03RnX4\x12\x00\x080pNlQSQ4p\x0fMIp\xc4'	b' \x02\x00\x00'	b'20020000'	[]	3
b'101100064d5149736470030095240003385a4f3512000c3269563438346b37343752584872'	b'\x10\x11\x00\x06MQIsdp\x03\x00\x95$\x00\x038ZO5\x12\x00\x0c2iV484k747RXHr'	b' \x02\x00\x00'	b'20020000'	[]	3
b'100d00044d5154540402e72e000164f76e463a0b00017749cc4a6957795a480cf4b5'	b'\x10\r\x00\x04MQTT\x04\x02\xe7.\x00\x01d\xf7nF:\x0b\x00\x01wI\xccJiWyZH\x0c\xf4\xb5'	b' \x02\x00\x00'	b'20020000'	[]	3
b'100e00044d515454040290b30002754fd257340c0000592c6e485542795a63314700a350'	b'\x10\x0e\x00\x04MQTT\x04\x02\x90\xb3\x00\x02uO\xd2W4\x0c\x00\x00Y,nHUByZc1G\x00\xa3P'	b' \x02\x00\x00'	b'20020000'	[]	3
b'101100064d514973647003022e1900036e6e67380800054d7867513168549c3df3'	b'\x10\x11\x00\x06MQIsdp\x03\x02.\x19\x00\x03nng8\x08\x00\x05MxgQ1hT\x9c=\xf3'	b' \x02\x00\x00'	b'20020000'	[]	3
b'100c00044d515454040237ff0000344833340f00026350d3fe496c503238645469d3'	b'\x10\x0c\x00\x04MQTT\x04\x027\xff\x00\x004H34\x0f\x00\x02cP\xd3\xfeIlP28dTi\xd3'	b' \x02\x00\x00'	b'20020000'	[]	3
b'100c00044d51545404007a720000749d703c110009786e3464706a4a5a44e1d24a3986'	b'\x10\x0c\x00\x04MQTT\x04\x00zr\x00\x00t\x9dp<\x11\x00\txn4dpjJZD\xe1\xd2J9\x86'	b' \x02\x00\x02'	b'20020002'	[]	3
b'101000064d51497364700302d516000239686434100006326b6930376ac5fa6e3332453590'	b'\x10\x10\x00\x06MQIsdp\x03\x02\xd5\x16\x00\x029hd4\x10\x00\x062ki07j\xc5\xfan32E5\x90'	b' \x02\x00\x00'	b'20020000'	[]	3
b'101200044d5154540400d16d000650725970693130080002327957763141e4fb2de43e80'	b'\x10\x12\x00\x04MQTT\x04\x00\xd1m\x00\x06PrYpi10\x08\x00\x022yWv1A\xe4\xfb-\xe4>\x80'	b' \x02\x00\x00'	b'20020000'	[]	3
b'101100064d514973647003002f9f00036d3061340b0000374236766374685775ad3dddcbbd'	b'\x10\x11\x00\x06MQIsdp\x03\x00/\x9f\x00\x03m0a4\x0b\x00\x007B6vcthWu\xad=\xdd\xcb\xbd'	b' \x02\x00\x00'	b'20020000'	[]	3
b'101100064d5149736470030284900003514173300e000c5375335471696f34706f3775d33a'	b'\x10\x11\x00\x06MQIsdp\x03\x02\x84\x90\x00\x03QAs0\x0e\x00\x0cSu3Tqio4po7u\xd3:'	b' \x02\x00\x00'	b'20020000'	[]	3
b'100d00044d515454040094950001683050003d12000e63584e546d47474a3278774dd9f0'	b'\x10\r\x00\x04MQTT\x04\x00\x94\x95\x00\x01h0P\x00=\x12\x00\x0ecXNTmGGJ2xwM\xd9\xf0'	b' \x02\x00\x00'	b'20020000'	[]	3
b'101100044d5154540402a0cb000555476a4a4a350f000635567557646e90266d6b5251f0'	b'\x10\x11\x00\x04MQTT\x04\x02\xa0\xcb\x00\x05UGjJJ5\x0f\x00\x065VuWdn\x90&mkRQ\xf0'	b' \x02\x00\x00'	b'20020000'	[]	3
b'100e00064d51497364700302c4f1000074d83a0a000253414aee754e675a714dd93b'	b'\x10\x0e\x00\x06MQIsdp\x03\x02\xc4\xf1\x00\x00t\xd8:\n\x00\x02SAJ\xeeuNgZqM\xd9;'	b' \x02\x00\x02'	b'20020002'	[]	3
b'101100044d51545404423db700024f540001483a0f000447534d341643784167546633325dc0'	b'\x10\x11\x00\x04MQTT\x04B=\xb7\x00\x02OT\x00\x01H:\x0f\x00\x04GSM4\x16CxAgTf32]\xc0'	b' \x02\x00\x00@\x02\x16C'	b'2002000040021643'	[]	4
b'101200044d5154540480efe700000004664730473211000136f3b74768796350574c7a759990'	b'\x10\x12\x00\x04MQTT\x04\x80\xef\xe7\x00\x00\x00\x04fG0G2\x11\x00\x016\xf3\xb7GhycPWLzu\x99\x90'	b' \x02\x00\x02'	b'20020002'	[]	4
b'101100044d51545404027d3f000559413531763210000a4f47586f623941344b7528e342'	b'\x10\x11\x00\x04MQTT\x04\x02}?\x00\x05YA51v2\x10\x00\nOGXob9A4Ku(\xe3B'	b' \x02\x00\x00'	b'20020000'	[]	4
b'101200044d5154540440bab0000000045a4b4659340f0003695734974149376a4b346173f087b0'	b'\x10\x12\x00\x04MQTT\x04@\xba\xb0\x00\x00\x00\x04ZKFY4\x0f\x00\x03iW4\x97AI7jK4as\xf0\x87\xb0'	b' \x02\x00\x02'	b'20020002'	[]	4
b'100d00044d5154540402440c00016ff0400013340d0009425355756f4b69516c4cee59c650'	b'\x10\r\x00\x04MQTT\x04\x02D\x0c\x00\x01o\xf0@\x00\x134\r\x00\tBSUuoKiQlL\xeeY\xc6P'	b' \x02\x00\x00'	b'20020000'	[]	4
b'100e00044d5154540402833300027534953c0d0005456264445463e1584e5a6d6c760f'	b'\x10\x0e\x00\x04MQTT\x04\x02\x833\x00\x02u4\x95<\r\x00\x05EbdDTc\xe1XNZmlv\x0f'	b' \x02\x00\x00'	b'20020000'	[]	4
b'100e00044d5154540480977000000000f2ebfb350c0002717532ea4f4f68477436c324b9'	b'\x10\x0e\x00\x04MQTT\x04\x80\x97p\x00\x00\x00\x00\xf2\xeb\xfb5\x0c\x00\x02qu2\xeaOOhGt6\xc3$\xb9'	b' \x02\x00\x02'	b'20020002'	[]	4
b'101100044d51545404804d8800014b000239623b080000ff1d78776a595a2233d11000a650'	"b'\x10\x11\x00\x04MQTT\x04\x80M\x88\x00\x01K\x00\x029b;\x08\x00\x00\xff\x1dxwjYZ""3\xd1\x10\x00\xa6P'"	b' \x02\x01\x00'	b'20020100'	[]	5
b'101000044d5154540402669900045170686a80350c00065747616c34a2ad337961736b60'	b'\x10\x10\x00\x04MQTT\x04\x02f\x99\x00\x04Qphj\x805\x0c\x00\x06WGal4\xa2\xad3yask`'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101100064d51497364700302227e00034a7078380f00024c6339446445626959763279f93400'	"b'\x10\x11\x00\x06MQIsdp\x03\x02""~\x00\x03Jpx8\x0f\x00\x02Lc9DdEbiYv2y\xf94\x00'"	b' \x02\x00\x00'	b'20020000'	[]	5
b'101100044d51545404009ef1000572524237333d12000e354879674b4468567541426d4a5f'	b'\x10\x11\x00\x04MQTT\x04\x00\x9e\xf1\x00\x05rRB73=\x12\x00\x0e5HygKDhVuABmJ_'	b' \x02\x00\x00'	b'20020000'	[]	5
b'100e00044d515454040034cf000275733410350b00046275666575e074773254fb5c'	b'\x10\x0e\x00\x04MQTT\x04\x004\xcf\x00\x02us4\x105\x0b\x00\x04bufeu\xe0tw2T\xfb\\'	b' \x02\x00\x00'	b'20020000'	[]	5
b'100d00044d51545404003bf3000149a2c000003c0c000835636a65425a66397333f44e353c'	b'\x10\r\x00\x04MQTT\x04\x00;\xf3\x00\x01I\xa2\xc0\x00\x00<\x0c\x00\x085cjeBZf9s3\xf4N5<'	b' \x02\x00\x00'	b'20020000'	[]	5
b'100e00064d5149736470030297c300004257763a0b0007566769635376758080443a9b'	b'\x10\x0e\x00\x06MQIsdp\x03\x02\x97\xc3\x00\x00BWv:\x0b\x00\x07VgicSvu\x80\x80D:\x9b'	b' \x02\x00\x02'	b'20020002'	[]	5
b'101200064d51497364700302e49500045442647a310e000650426b715654644e304165373320'	b'\x10\x12\x00\x06MQIsdp\x03\x02\xe4\x95\x00\x04TBdz1\x0e\x00\x06PBkqVTdN0Ae73 '	b' \x02\x00\x00'	b'20020000'	[]	5
b'101100044d515454040282960005745a5a666a310f000d314b70577732376169793557636c'	b'\x10\x11\x00\x04MQTT\x04\x02\x82\x96\x00\x05tZZfj1\x0f\x00\r1KpWw27aiy5Wcl'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101200044d51545404023c9c00066b515a365570350700025665447b7303bd5caa7301'	b'\x10\x12\x00\x04MQTT\x04\x02<\x9c\x00\x06kQZ6Up5\x07\x00\x02VeD{s\x03\xbd\\\xaas\x01'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101200064d51497364700300f7c3000461784158380f000c507235556c526d314c4f704b6be1'	b'\x10\x12\x00\x06MQIsdp\x03\x00\xf7\xc3\x00\x04axAX8\x0f\x00\x0cPr5UlRm1LOpKk\xe1'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101100044d5154540400cc9200054578585a4e3c10000257740d40726a574774427567c390'	b'\x10\x11\x00\x04MQTT\x04\x00\xcc\x92\x00\x05ExXZN<\x10\x00\x02Wt\r@rjWGtBug\xc3\x90'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101200044d5154540442ded200000004704c645a310c000372585264347854796c616f3f90'	b'\x10\x12\x00\x04MQTT\x04B\xde\xd2\x00\x00\x00\x04pLdZ1\x0c\x00\x03rXRd4xTylao?\x90'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101100044d5154540480f718000456736c53b03d110003756638f2f66c5163667155545668a0'	b'\x10\x11\x00\x04MQTT\x04\x80\xf7\x18\x00\x04VslS\xb0=\x11\x00\x03uf8\xf2\xf6lQcfqUTVh\xa0'	b''	b''	[]	5
b'100e00064d5149736470030034f700004246503c0d00036f5331b69f35415a415672313373e0'	b'\x10\x0e\x00\x06MQIsdp\x03\x004\xf7\x00\x00BFP<\r\x00\x03oS1\xb6\x9f5AZAVr13s\xe0'	b' \x02\x00\x02'	b'20020002'	[]	5
b'100e00044d5154540482369f00000000f222d2340f00013662e2314355754964677955ce40'	"b'\x10\x0e\x00\x04MQTT\x04\x826\x9f\x00\x00\x00\x00\xf2""\xd24\x0f\x00\x016b\xe21CUuIdgyU\xce@'"	b' \x02\x00\x00'	b'20020000'	[]	5
b'100d00044d5154540400cd1b0001556637853409000555476c353821178bbbe34090'	b'\x10\r\x00\x04MQTT\x04\x00\xcd\x1b\x00\x01Uf7\x854\t\x00\x05UGl58!\x17\x8b\xbb\xe3@\x90'	b' \x02\x01\x00'	b'20020100'	[]	5
b'101100044d5154540402cf3c00054566686b4f3b12000e704c4d57414e4d4e797769cff3f0f0'	b'\x10\x11\x00\x04MQTT\x04\x02\xcf<\x00\x05EfhkO;\x12\x00\x0epLMWANMNywi\xcf\xf3\xf0\xf0'	b' \x02\x00\x00'	b'20020000'	[]	5
b'100c00044d515454040247df0000f224da1030110007655477774251677732694a423498'	b'\x10\x0c\x00\x04MQTT\x04\x02G\xdf\x00\x00\xf2$\xda\x100\x11\x00\x07eTwwBQgw2iJB4\x98'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101100064d5149736470030227ae0003394872340500014d219bb87af10d0015933946'	"b""\x10\x11\x00\x06MQIsdp\x03\x02'\xae\x00\x039Hr4\x05\x00\x01M!\x9b\xb8z\xf1\r\x00\x15\x939F"""	b' \x02\x00\x00'	b'20020000'	[]	5
b'101100064d51497364700300007500036d73323a1200076868553135356659d639416a3385'	b'\x10\x11\x00\x06MQIsdp\x03\x00\x00u\x00\x03ms2:\x12\x00\x07hhU155fY\xd69Aj3\x85'	b' \x02\x00\x00'	b'20020000'	[]	5
b'100e00064d514973647003005f970000340001350a0003664b6e32c6684d6ed8d8b7'	b'\x10\x0e\x00\x06MQIsdp\x03\x00_\x97\x00\x004\x00\x015\n\x00\x03fKn2\xc6hMn\xd8\xd8\xb7'	b' \x02\x00\x02'	b'20020002'	[]	5
b'101000044d515454040054c80004544f4330e43c110004357a656343de73784b37364264f6'	b'\x10\x10\x00\x04MQTT\x04\x00T\xc8\x00\x04TOC0\xe4<\x11\x00\x045zecC\xdesxK76Bd\xf6'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101200044d51545404022f1300067a4379727056300e000576356d365831654267316f324df4'	b'\x10\x12\x00\x04MQTT\x04\x02/\x13\x00\x06zCyrpV0\x0e\x00\x05v5m6X1eBg1o2M\xf4'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101100064d5149736470030071f700034f576c390b0006445a57466a374d5a6eec3d0d0700'	b'\x10\x11\x00\x06MQIsdp\x03\x00q\xf7\x00\x03OWl9\x0b\x00\x06DZWFj7MZn\xec=\r\x07\x00'	b' \x02\x00\x00'	b'20020000'	[]	5
b'100e00044d51545404428d47000000003217013d0d00056d67726151946e656d697a66752b'	b'\x10\x0e\x00\x04MQTT\x04B\x8dG\x00\x00\x00\x002\x17\x01=\r\x00\x05mgraQ\x94nemizfu+'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101200064d514973647003029e500004376f7253320c000063754d3641304d4f36560fff55a0'	b'\x10\x12\x00\x06MQIsdp\x03\x02\x9eP\x00\x047orS2\x0c\x00\x00cuM6A0MO6V\x0f\xffU\xa0'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101100044d51545404026c1100054770697568390f000479644e324a533678545164569c'	b'\x10\x11\x00\x04MQTT\x04\x02l\x11\x00\x05Gpiuh9\x0f\x00\x04ydN2JS6xTQdV\x9c'	b' \x02\x00\x00'	b'20020000'	[]	5
b'100c00044d5154540400db2d0000110000390d000749464c326c4a33786e41464fd490'	b'\x10\x0c\x00\x04MQTT\x04\x00\xdb-\x00\x00\x11\x00\x009\r\x00\x07IFL2lJ3xnAFO\xd4\x90'	b' \x02\x00\x02'	b'20020002'	[]	5
b'101200064d514973647003022ca40004614734353010000a423442577861663541366e5050'	b'\x10\x12\x00\x06MQIsdp\x03\x02,\xa4\x00\x04aG450\x10\x00\nB4BWxaf5A6nPP'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101200044d51545404828e690000000459786b52350d000a6d5634314e66655434668c8130dd'	b'\x10\x12\x00\x04MQTT\x04\x82\x8ei\x00\x00\x00\x04YxkR5\r\x00\nmV41NfeT4f\x8c\x810\xdd'	b' \x02\x00\x00'	b'20020000'	[]	5
b'100f00064d51497364700302057f00017ad0003c0f0002727895e866535a6b6c4b4f664e70'	b'\x10\x0f\x00\x06MQIsdp\x03\x02\x05\x7f\x00\x01z\xd0\x00<\x0f\x00\x02rx\x95\xe8fSZklKOfNp'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101000044d51545404029c19000451766f63863c12000349464e812d7178487554464d3419'	b'\x10\x10\x00\x04MQTT\x04\x02\x9c\x19\x00\x04Qvoc\x86<\x12\x00\x03IFN\x81-qxHuTFM4\x19'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101200064d51497364700300a4e8000466734c573d0a00034239734eaa636b4c1b6d3450'	b'\x10\x12\x00\x06MQIsdp\x03\x00\xa4\xe8\x00\x04fsLW=\n\x00\x03B9sN\xaackL\x1bm4P'	b' \x02\x00\x00'	b'20020000'	[]	5
b'100c00044d5154540400d7c900004427537000350f0007644764426142fc5c354348787ac0'	"b""\x10\x0c\x00\x04MQTT\x04\x00\xd7\xc9\x00\x00D'Sp\x005\x0f\x00\x07dGdBaB\xfc\\5CHxz\xc0"""	b' \x02\x00\x02'	b'20020002'	[]	5
b'101200044d515454040022a900063235695a64743c1200075a3765725a616f513e4c61556790'	"b'\x10\x12\x00\x04MQTT\x04\x00""\xa9\x00\x0625iZdt<\x12\x00\x07Z7erZaoQ>LaUg\x90'"	b' \x02\x00\x00'	b'20020000'	[]	5
b'101000044d5154540402573000044b467a41803b100001664a30373370676e4a6d6216d1'	b'\x10\x10\x00\x04MQTT\x04\x02W0\x00\x04KFzA\x80;\x10\x00\x01fJ073pgnJmb\x16\xd1'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101200064d514973647003029cc600046b5046573c0e00054636587a67eccf4876556b4285a0'	b'\x10\x12\x00\x06MQIsdp\x03\x02\x9c\xc6\x00\x04kPFW<\x0e\x00\x05F6Xzg\xec\xcfHvUkB\x85\xa0'	b' \x02\x00\x00P\x02\xec\xcf'	b'200200005002eccf'	[]	6
b'101200044d5154540482d5d500034157470001633c050001343683497d3412001575453530'	b'\x10\x12\x00\x04MQTT\x04\x82\xd5\xd5\x00\x03AWG\x00\x01c<\x05\x00\x0146\x83I}4\x12\x00\x15uE50'	b' \x02\x00\x00'	b'20020000'	[]	6
b'100f00044d51545404422f1c0000000174c0003d09000459457463e39b617006fd830f'	b'\x10\x0f\x00\x04MQTT\x04B/\x1c\x00\x00\x00\x01t\xc0\x00=\t\x00\x04YEtc\xe3\x9bap\x06\xfd\x83\x0f'	b' \x02\x00\x00'	b'20020000'	[]	6
b'100f00064d51497364700300795e000172e634351200093337666d6b543372726ed5526773'	b'\x10\x0f\x00\x06MQIsdp\x03\x00y^\x00\x01r\xe645\x12\x00\t37fmkT3rrn\xd5Rgs'	b' \x02\x00\x00'	b'20020000'	[]	6
b'101000044d515454040097b9000474617a463b080002686d30df6e439fec19200000'	b'\x10\x10\x00\x04MQTT\x04\x00\x97\xb9\x00\x04tazF;\x08\x00\x02hm0\xdfnC\x9f\xec\x19 \x00\x00'	b' \x02\x00\x00'	b'20020000'	[]	6
b'101100044d51545404029021000578473347543d080002414fe2d748413a57dced38'	b'\x10\x11\x00\x04MQTT\x04\x02\x90!\x00\x05xG3GT=\x08\x00\x02AO\xe2\xd7HA:W\xdc\xed8'	b' \x02\x00\x00'	b'20020000'	[]	6
b'100d00044d5154540400810e0001764e4a523011000a7677484e3833464f4d656259381d30'	b'\x10\r\x00\x04MQTT\x04\x00\x81\x0e\x00\x01vNJR0\x11\x00\nvwHN83FOMebY8\x1d0'	b' \x02\x00\x00'	b'20020000'	[]	6
b'101100064d5149736470030032920003576d4a34120005775a4d5646da2a62687268614900'	b'\x10\x11\x00\x06MQIsdp\x03\x002\x92\x00\x03WmJ4\x12\x00\x05wZMVF\xda*bhrhaI\x00'	b' \x02\x00\x00'	b'20020000'	[]	6
b'100c00044d51545404029c5900003600016d390d0005504473516d624e626b367174b350'	b'\x10\x0c\x00\x04MQTT\x04\x02\x9cY\x00\x006\x00\x01m9\r\x00\x05PDsQmbNbk6qt\xb3P'	b' \x02\x00\x00'	b'20020000'	[]	6
b'100c00044d5154540400b15d0000a190122736300e0003664d494842776c4b494e6968a6c0'	"b""\x10\x0c\x00\x04MQTT\x04\x00\xb1]\x00\x00\xa1\x90\x12'60\x0e\x00\x03fMIHBwlKINih\xa6\xc0"""	b' \x02\x00\x02'	b'20020002'	[]	6
b'100f00044d5154540402ec960003453754653c120005344248514b75de70367a38464d04d0'	b'\x10\x0f\x00\x04MQTT\x04\x02\xec\x96\x00\x03E7Te<\x12\x00\x054BHQKu\xdep6z8FM\x04\xd0'	b' \x02\x00\x00'	b'20020000'	[]	6
b'101000044d5154540400d97c0004325a6463a53a0a0004493545a891d64c3215351000034670'	b'\x10\x10\x00\x04MQTT\x04\x00\xd9|\x00\x042Zdc\xa5:\n\x00\x04I5E\xa8\x91\xd6L2\x155\x10\x00\x03Fp'	b' \x02\x00\x00'	b'20020000'	[]	6
b'101200044d5154540442918200000004534c3743310900044647663579436c2709c410'	"b""\x10\x12\x00\x04MQTT\x04B\x91\x82\x00\x00\x00\x04SL7C1\t\x00\x04FGf5yCl'\t\xc4\x10"""	b' \x02\x00\x00'	b'20020000'	[]	6
b'101100044d51545404427f6f00025a3000015731090005554f366748686706f09d70'	b'\x10\x11\x00\x04MQTT\x04B\x7fo\x00\x02Z0\x00\x01W1\t\x00\x05UO6gHhg\x06\xf0\x9dp'	b' \x02\x00\x00'	b'20020000'	[]	6
b'100f00044d515454040055420003367942e4d0390b0006575a56457a30667951a13d12000c65'	b'\x10\x0f\x00\x04MQTT\x04\x00UB\x00\x036yB\xe4\xd09\x0b\x00\x06WZVEz0fyQ\xa1=\x12\x00\x0ce'	b' \x02\x00\x00'	b'20020000'	[]	6
b'101000044d51545404008bed00043439334824341100016d1b825674314b393537637459ed'	b'\x10\x10\x00\x04MQTT\x04\x00\x8b\xed\x00\x04493H$4\x11\x00\x01m\x1b\x82Vt1K957ctY\xed'	b' \x02\x00\x00'	b'20020000'	[]	6
b'100c00044d5154540400a3910000327934503409000432656848527572117a33911000'	b'\x10\x0c\x00\x04MQTT\x04\x00\xa3\x91\x00\x002y4P4\t\x00\x042ehHRur\x11z3\x91\x10\x00'	b' \x02\x00\x02'	b'20020002'	[]	6
b'101200064d514973647003027d850004413765333411000d5462535a4d656943545547507839e0'	b'\x10\x12\x00\x06MQIsdp\x03\x02}\x85\x00\x04A7e34\x11\x00\rTbSZMeiCTUGPx9\xe0'	b' \x02\x00\x00P\x029\xe0'	b'20020000500239e0'	[]	7
