payload_detail	payload	response	response_detail	statelist	unique_response
b'101100044d51545404005f920005764349796b38040000636623494351200027151a2716'	"b""\x10\x11\x00\x04MQTT\x04\x00_\x92\x00\x05vCIyk8\x04\x00\x00cf#ICQ \x00'\x15\x1a'\x16"""	b' \x02\x00\x00'	b'20020000'	[]	4
b'101100044d51545404007eb900056e3952674f3c1100025445606861784368626c626d50e2'	b'\x10\x11\x00\x04MQTT\x04\x00~\xb9\x00\x05n9RgO<\x11\x00\x02TE`haxChblbmP\xe2'	b' \x02\x00\x00'	b'20020000'	[]	4
b'100e00064d514973647003009e390000f4c0320b0004394e476ad4a063378dd310300079'	b'\x10\x0e\x00\x06MQIsdp\x03\x00\x9e9\x00\x00\xf4\xc02\x0b\x00\x049NGj\xd4\xa0c7\x8d\xd3\x100\x00y'	b' \x02\x00\x02'	b'20020002'	[]	4
b'100c00044d515454040259490000d000173000331100001a5a715372695a42395541394390'	b'\x10\x0c\x00\x04MQTT\x04\x02YI\x00\x00\xd0\x00\x170\x003\x11\x00\x00\x1aZqSriZB9UA9C\x90'	b' \x02\x00\x00'	b'20020000'	[]	4
b'101200064d5149736470030037ff0004736a626b330f000b584337436c3974785233646de7'	b'\x10\x12\x00\x06MQIsdp\x03\x007\xff\x00\x04sjbk3\x0f\x00\x0bXC7Cl9txR3dm\xe7'	b' \x02\x00\x00'	b'20020000'	[]	4
b'100c00044d5154540400b6520000646707193a0f000a326d6750434252465352e6fddd'	b'\x10\x0c\x00\x04MQTT\x04\x00\xb6R\x00\x00dg\x07\x19:\x0f\x00\n2mgPCBRFSR\xe6\xfd\xdd'	b' \x02\x00\x02'	b'20020002'	[]	4
b'100e00064d51497364700300374a0000f66588300c00014872436e5457517a3559c3c25110'	b'\x10\x0e\x00\x06MQIsdp\x03\x007J\x00\x00\xf6e\x880\x0c\x00\x01HrCnTWQz5Y\xc3\xc2Q\x10'	b' \x02\x00\x02'	b'20020002'	[]	4
b'100e00044d5154540402685900023735863d090005416365673213450c3910000a6e6772'	b'\x10\x0e\x00\x04MQTT\x04\x02hY\x00\x0275\x86=\t\x00\x05Aceg2\x13E\x0c9\x10\x00\nngr'	b' \x02\x00\x00'	b'20020000'	[]	4
b'100e00064d5149736470030081150000865010390e0004785947596e43336c374145687443'	b'\x10\x0e\x00\x06MQIsdp\x03\x00\x81\x15\x00\x00\x86P\x109\x0e\x00\x04xYGYnC3l7AEhtC'	b' \x02\x00\x02'	b'20020002'	[]	4
b'101200044d51545404028399000675436f74344d38090000344d7254525848c967da'	b'\x10\x12\x00\x04MQTT\x04\x02\x83\x99\x00\x06uCot4M8\t\x00\x004MrTRXH\xc9g\xda'	b' \x02\x00\x00'	b'20020000'	[]	4
b'101200044d5154540440028500026c6f00027954310b00064d5234355464506e7a4d76c290'	b'\x10\x12\x00\x04MQTT\x04@\x02\x85\x00\x02lo\x00\x02yT1\x0b\x00\x06MR45TdPnzMv\xc2\x90'	b' \x02\x00\x00'	b'20020000'	[]	4
b'101000064d514973647003024cd800024968330d000874545569326b32432d946c3089b0'	b'\x10\x10\x00\x06MQIsdp\x03\x02L\xd8\x00\x02Ih3\r\x00\x08tTUi2k2C-\x94l0\x89\xb0'	b' \x02\x00\x00@\x02-\x94'	b'2002000040022d94'	[]	5
b'100f00064d5149736470030055927000d861903a070000164431684d3398959e102000'	b'\x10\x0f\x00\x06MQIsdp\x03\x00U\x92p\x00\xd8a\x90:\x07\x00\x00\x16D1hM3\x98\x95\x9e\x10 \x00'	b''	b''	[]	5
b'100e00064d514973647003022c66000012105033070000a76b674b57390fc48100035340'	b'\x10\x0e\x00\x06MQIsdp\x03\x02,f\x00\x00\x12\x10P3\x07\x00\x00\xa7kgKW9\x0f\xc4\x81\x00\x03S@'	b' \x02\x00\x02'	b'20020002'	[]	5
b'100e00064d5149736470030266ac0000d500003410000334486cf754654b63354254539af8'	b'\x10\x0e\x00\x06MQIsdp\x03\x02f\xac\x00\x00\xd5\x00\x004\x10\x00\x034Hl\xf7TeKc5BTS\x9a\xf8'	b' \x02\x00\x02'	b'20020002'	[]	5
b'101100064d5149736470030292ff000358535331100009757444435077676a5745396ffb60'	b'\x10\x11\x00\x06MQIsdp\x03\x02\x92\xff\x00\x03XSS1\x10\x00\tutDCPwgjWE9o\xfb`'	b' \x02\x00\x00'	b'20020000'	[]	5
b'100f00044d515454048255cf0001670000c004320b000432777833ca4f6c785204f691'	b'\x10\x0f\x00\x04MQTT\x04\x82U\xcf\x00\x01g\x00\x00\xc0\x042\x0b\x00\x042wx3\xcaOlxR\x04\xf6\x91'	b' \x02\x00\x00'	b'20020000'	[]	5
b'100e00064d51497364700300a56d0000e6e15330120000bf334463376b6270646a7866b570'	b'\x10\x0e\x00\x06MQIsdp\x03\x00\xa5m\x00\x00\xe6\xe1S0\x12\x00\x00\xbf3Dc7kbpdjxf\xb5p'	b' \x02\x00\x02'	b'20020002'	[]	5
b'101100044d515454048205ff00013900026a4d310f000758397433416b324e6a346237c31060'	b'\x10\x11\x00\x04MQTT\x04\x82\x05\xff\x00\x019\x00\x02jM1\x0f\x00\x07X9t3Ak2Nj4b7\xc3\x10`'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101200064d51497364700340f8130002583200003c1200066a5052434e67b0e2337048506a26'	b'\x10\x12\x00\x06MQIsdp\x03@\xf8\x13\x00\x02X2\x00\x00<\x12\x00\x06jPRCNg\xb0\xe23pHPj&'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101200044d515454048260470003664330000148350e00066c6b596e716837a47d5143504ab1d0'	b'\x10\x12\x00\x04MQTT\x04\x82`G\x00\x03fC0\x00\x01H5\x0e\x00\x06lkYnqh7\xa4}QCPJ\xb1\xd0'	b' \x02\x00\x00'	b'20020000'	[]	5
b'100d00044d5154540400a70900014f95473d1100086c4572387642543473c8436737b1'	b'\x10\r\x00\x04MQTT\x04\x00\xa7\t\x00\x01O\x95G=\x11\x00\x08lEr8vBT4s\xc8Cg7\xb1'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101100044d515454040257990005344f66314d340b0006694546674ce71d726636e3203100'	b'\x10\x11\x00\x04MQTT\x04\x02W\x99\x00\x054Of1M4\x0b\x00\x06iEFgL\xe7\x1drf6\xe3 1\x00'	b' \x02\x00\x00'	b'20020000'	[]	5
b'100d00044d51545404023c24000132700000143d10000346336b39bc5457497455424443a0'	b'\x10\r\x00\x04MQTT\x04\x02<$\x00\x012p\x00\x00\x14=\x10\x00\x03F3k9\xbcTWItUBDC\xa0'	b' \x02\x00\x00'	b'20020000'	[]	5
b'101200044d5154540440a0b4000170000273413b0e000a7a5744355142457a62777bb27870'	b'\x10\x12\x00\x04MQTT\x04@\xa0\xb4\x00\x01p\x00\x02sA;\x0e\x00\nzWD5QBEzbw{\xb2xp'	b''	b''	[]	5
b'100d00044d51545404002f07000154f54b310b00035764666d666a78316674c810'	b'\x10\r\x00\x04MQTT\x04\x00/\x07\x00\x01T\xf5K1\x0b\x00\x03Wdfmfjx1ft\xc8\x10'	b' \x02\x01\x00'	b'20020100'	[]	6
b'100e00044d5154540402893f00024a442217303b090002327605ae6d4d4b04f3524c0000'	"b'\x10\x0e\x00\x04MQTT\x04\x02\x89?\x00\x02JD""\x170;\t\x00\x022v\x05\xaemMK\x04\xf3RL\x00\x00'"	b' \x02\x00\x00'	b'20020000'	[]	6
b'101100064d51497364700340944a0000000163340e00027870e09b58356d4763505a7338'	b'\x10\x11\x00\x06MQIsdp\x03@\x94J\x00\x00\x00\x01c4\x0e\x00\x02xp\xe0\x9bX5mGcPZs8'	b' \x02\x00\x02'	b'20020002'	[]	6
b'100e00064d51497364700300f85a000014340f0004593565709a8333727378515a5390b0'	b'\x10\x0e\x00\x06MQIsdp\x03\x00\xf8Z\x00\x00\x144\x0f\x00\x04Y5ep\x9a\x833rsxQZS\x90\xb0'	b' \x02\x00\x02'	b'20020002'	[]	6
b'100e00064d514973647003025d050000adb9310e000679703944674e4b7a486d32497600'	b'\x10\x0e\x00\x06MQIsdp\x03\x02]\x05\x00\x00\xad\xb91\x0e\x00\x06yp9DgNKzHm2Iv\x00'	b' \x02\x00\x02'	b'20020002'	[]	6
b'100f00064d514973647003006f740001434e390f0000774f316d70666a4535654e3593'	b'\x10\x0f\x00\x06MQIsdp\x03\x00ot\x00\x01CN9\x0f\x00\x00wO1mpfjE5eN5\x93'	b' \x02\x00\x00'	b'20020000'	[]	6
b'100c00044d51545404004f740000b2701225013a0a0000d001525636517179d1431100007750'	b'\x10\x0c\x00\x04MQTT\x04\x00Ot\x00\x00\xb2p\x12%\x01:\n\x00\x00\xd0\x01RV6Qqy\xd1C\x11\x00\x00wP'	b' \x02\x00\x02'	b'20020002'	[]	6
b'101200044d5154540402d2cf0006624d646e62543c1200094c33635432384548468e2536479e'	b'\x10\x12\x00\x04MQTT\x04\x02\xd2\xcf\x00\x06bMdnbT<\x12\x00\tL3cT28EHF\x8e%6G\x9e'	b' \x02\x00\x00'	b'20020000'	[]	6
b'100c00044d5154540402553f0000e67534d6340800023258f175614b863f3837'	b'\x10\x0c\x00\x04MQTT\x04\x02U?\x00\x00\xe6u4\xd64\x08\x00\x022X\xf1uaK\x86?87'	b' \x02\x00\x00'	b'20020000'	[]	6
b'101200044d5154540400551e000658514c625954350e0002654471e163335663534d546f6b30'	b'\x10\x12\x00\x04MQTT\x04\x00U\x1e\x00\x06XQLbYT5\x0e\x00\x02eDq\xe1c3VcSMTok0'	b' \x02\x00\x00'	b'20020000'	[]	6
b'100d00044d5154540402745b0001779b59003d0f00045577367249620000b969434f17a0'	b'\x10\r\x00\x04MQTT\x04\x02t[\x00\x01w\x9bY\x00=\x0f\x00\x04Uw6rIb\x00\x00\xb9iCO\x17\xa0'	b' \x02\x00\x00'	b'20020000'	[]	6
b'101100044d5154540442f02100013000026864380f000664786274797451776a396e5a3450'	b'\x10\x11\x00\x04MQTT\x04B\xf0!\x00\x010\x00\x02hd8\x0f\x00\x06dxbtytQwj9nZ4P'	b' \x02\x00\x00'	b'20020000'	[]	6
b'100e00064d5149736470030086c500004e79393212000a744f413377315047644bfafc5730'	b'\x10\x0e\x00\x06MQIsdp\x03\x00\x86\xc5\x00\x00Ny92\x12\x00\ntOA3w1PGdK\xfa\xfcW0'	b' \x02\x00\x02'	b'20020002'	[]	6
b'101200044d515454040274670006647a6d396d6c3d0f000848345066414654365737777671b8'	b'\x10\x12\x00\x04MQTT\x04\x02tg\x00\x06dzm9ml=\x0f\x00\x08H4PfAFT6W7wvq\xb8'	b' \x02\x00\x00'	b'20020000'	[]	6
b'101100044d5154540402359300057275427a4e380b0005344c56444b6b414b56d988a7'	b'\x10\x11\x00\x04MQTT\x04\x025\x93\x00\x05ruBzN8\x0b\x00\x054LVDKkAKV\xd9\x88\xa7'	b' \x02\x00\x00'	b'20020000'	[]	6
b'101100064d514973647003828dcd000230670000380d0000485754677a445746445052774670'	b'\x10\x11\x00\x06MQIsdp\x03\x82\x8d\xcd\x00\x020g\x00\x008\r\x00\x00HWTgzDWFDPRwFp'	b''	b''	[]	6
b'100f00044d5154540480a9e70000000163b0003810000b4a66377270744d64664359638a90'	b'\x10\x0f\x00\x04MQTT\x04\x80\xa9\xe7\x00\x00\x00\x01c\xb0\x008\x10\x00\x0bJf7rptMdfCYc\x8a\x90'	b' \x02\x00\x02'	b'20020002'	[]	6
b'100e00064d514973647003028bc2000042496a38090001574148705577534ae57e28'	b'\x10\x0e\x00\x06MQIsdp\x03\x02\x8b\xc2\x00\x00BIj8\t\x00\x01WAHpUwSJ\xe5~('	b' \x02\x00\x02'	b'20020002'	[]	6
b'101200044d5154540400b77c0006524e425a68733d0c00025570d2b4524a72544f74018340'	b'\x10\x12\x00\x04MQTT\x04\x00\xb7|\x00\x06RNBZhs=\x0c\x00\x02Up\xd2\xb4RJrTOt\x01\x83@'	b' \x02\x00\x00P\x02\xd2\xb4'	b'200200005002d2b4'	[]	7
b'101100044d5154540400e5c200057037544236381000016850626b774532315a4b6c5763cb'	b'\x10\x11\x00\x04MQTT\x04\x00\xe5\xc2\x00\x05p7TB68\x10\x00\x01hPbkwE21ZKlWc\xcb'	b' \x02\x00\x00'	b'20020000'	[]	7
b'101000064d51497364700302777500023962c03b0d00094a585a6249757a75451207745400'	b'\x10\x10\x00\x06MQIsdp\x03\x02wu\x00\x029b\xc0;\r\x00\tJXZbIuzuE\x12\x07tT\x00'	b' \x02\x00\x00'	b'20020000'	[]	7
b'100f00064d5149736470030034860001750832110003734a37e54e59446e44706a668f30'	b'\x10\x0f\x00\x06MQIsdp\x03\x004\x86\x00\x01u\x082\x11\x00\x03sJ7\xe5NYDnDpjf\x8f0'	b' \x02\x00\x00'	b'20020000'	[]	7
b'101200044d5154540400d3fb00064841325334733a0f0000ece536734e564d6e6e6a5a754a20'	b'\x10\x12\x00\x04MQTT\x04\x00\xd3\xfb\x00\x06HA2S4s:\x0f\x00\x00\xec\xe56sNVMnnjZuJ '	b' \x02\x00\x00'	b'20020000'	[]	7
b'100e00064d51497364700300e25f000096553a0a00065044394e7858914830310900037450'	b'\x10\x0e\x00\x06MQIsdp\x03\x00\xe2_\x00\x00\x96U:\n\x00\x06PD9NxX\x91H01\t\x00\x03tP'	b' \x02\x00\x02'	b'20020002'	[]	7
b'100e00064d51497364700300deb30000817059320c000256552ff37072793173323f7970'	b'\x10\x0e\x00\x06MQIsdp\x03\x00\xde\xb3\x00\x00\x81pY2\x0c\x00\x02VU/\xf3pry1s2?yp'	b' \x02\x00\x02'	b'20020002'	[]	7
b'100c00044d5154540400d4bd0000f403363108000233756373504ad42c3b6900'	b'\x10\x0c\x00\x04MQTT\x04\x00\xd4\xbd\x00\x00\xf4\x0361\x08\x00\x023ucsPJ\xd4,;i\x00'	b' \x02\x00\x02'	b'20020002'	[]	7
b'101100064d514973647003027fdb000350354f3c0800001dd06541654e5497a4400000'	b'\x10\x11\x00\x06MQIsdp\x03\x02\x7f\xdb\x00\x03P5O<\x08\x00\x00\x1d\xd0eAeNT\x97\xa4@\x00\x00'	b' \x02\x00\x00'	b'20020000'	[]	7
b'101200044d5154540400ea140006436c7167616b3403000166349310200023754590861710'	b'\x10\x12\x00\x04MQTT\x04\x00\xea\x14\x00\x06Clqgak4\x03\x00\x01f4\x93\x10 \x00#uE\x90\x86\x17\x10'	b' \x02\x00\x00'	b'20020000'	[]	7
b'101100064d51497364700300564b0003557a6d300300004628739100373723668770e5'	b'\x10\x11\x00\x06MQIsdp\x03\x00VK\x00\x03Uzm0\x03\x00\x00F(s\x91\x0077#f\x87p\xe5'	b' \x02\x00\x00'	b'20020000'	[]	7
b'101200044d51545404803c9700036143430001453c0f00086275525544344d53f3f57953f780'	b'\x10\x12\x00\x04MQTT\x04\x80<\x97\x00\x03aCC\x00\x01E<\x0f\x00\x08buRUD4MS\xf3\xf5yS\xf7\x80'	b' \x02\x00\x00P\x02\xf3\xf5'	b'200200005002f3f5'	[]	8
b'101100064d514973647003001bc40003777a59330e0003684168d1a74a4e7361447245de90'	b'\x10\x11\x00\x06MQIsdp\x03\x00\x1b\xc4\x00\x03wzY3\x0e\x00\x03hAh\xd1\xa7JNsaDrE\xde\x90'	b' \x02\x00\x00@\x02\xd1\xa7'	b'200200004002d1a7'	[]	9
b'101200044d5154540400bc88000635736258614f3010000035673758684e6348357663793740'	b'\x10\x12\x00\x04MQTT\x04\x00\xbc\x88\x00\x065sbXaO0\x10\x00\x005g7XhNcH5vcy7@'	b' \x02\x00\x00'	b'20020000'	[]	9
b'101100044d5154540402ca3e000570754354643d0b000156218d4957376d66795a63b0'	b'\x10\x11\x00\x04MQTT\x04\x02\xca>\x00\x05puCTd=\x0b\x00\x01V!\x8dIW7mfyZc\xb0'	b' \x02\x00\x00'	b'20020000'	[]	9
b'101200044d5154540482ab3700016200133000133c11000267513ede336b7538747542642420'	b'\x10\x12\x00\x04MQTT\x04\x82\xab7\x00\x01b\x00\x130\x00\x13<\x11\x00\x02gQ>\xde3ku8tuBd$ '	b''	b''	[]	9
b'100e00044d5154540400687800026746e637340c0002514c812c785042786a320382d0'	b'\x10\x0e\x00\x04MQTT\x04\x00hx\x00\x02gF\xe674\x0c\x00\x02QL\x81,xPBxj2\x03\x82\xd0'	b' \x02\x00\x00'	b'20020000'	[]	9
b'101000044d5154540400412d0004334b6c6f00340f000668545865314e909c42677176ecc3'	b'\x10\x10\x00\x04MQTT\x04\x00A-\x00\x043Klo\x004\x0f\x00\x06hTXe1N\x90\x9cBgqv\xec\xc3'	b' \x02\x00\x00'	b'20020000'	[]	9
b'101100064d51497364700302d09a00036e32653c0b0000b5924c55787668794a055260'	b'\x10\x11\x00\x06MQIsdp\x03\x02\xd0\x9a\x00\x03n2e<\x0b\x00\x00\xb5\x92LUxvhyJ\x05R`'	b' \x02\x00\x00'	b'20020000'	[]	9
b'101100064d51497364700300fa7700037637383d050001715f86a773303000004714369310'	b'\x10\x11\x00\x06MQIsdp\x03\x00\xfaw\x00\x03v78=\x05\x00\x01q_\x86\xa7s00\x00\x00G\x146\x93\x10'	b' \x02\x00\x00'	b'20020000'	[]	9
b'101200044d5154540400d9900006476e5373716f351200024252d0e374573063487a6b645473d0'	b'\x10\x12\x00\x04MQTT\x04\x00\xd9\x90\x00\x06GnSsqo5\x12\x00\x02BR\xd0\xe3tW0cHzkdTs\xd0'	b' \x02\x00\x00'	b'20020000'	[]	9
b'101200044d5154540480106900000004624273753d0d00046371617565366e3837734a354c10'	b'\x10\x12\x00\x04MQTT\x04\x80\x10i\x00\x00\x00\x04bBsu=\r\x00\x04cqaue6n87sJ5L\x10'	b' \x02\x00\x02'	b'20020002'	[]	9
b'100c00044d5154540400521b0000b84a4d52330800007f8b50357a642233a331100030'	"b'\x10\x0c\x00\x04MQTT\x04\x00R\x1b\x00\x00\xb8JMR3\x08\x00\x00\x7f\x8bP5zd""3\xa31\x10\x000'"	b' \x02\x00\x02'	b'20020002'	[]	9
b'100c00044d51545404006c100000100014743510000a72546b4b6c574c506876172625c0'	b'\x10\x0c\x00\x04MQTT\x04\x00l\x10\x00\x00\x10\x00\x14t5\x10\x00\nrTkKlWLPhv\x17&%\xc0'	b' \x02\x00\x02'	b'20020002'	[]	9
b'101100044d5154540402213c0005706b786a473c10000166666f52716e76727844454f1feef0'	b'\x10\x11\x00\x04MQTT\x04\x02!<\x00\x05pkxjG<\x10\x00\x01ffoRqnvrxDEO\x1f\xee\xf0'	b' \x02\x00\x00'	b'20020000'	[]	9
b'101100044d5154540402de0c00054833796556340b000020ee54686166754f45b56239'	b'\x10\x11\x00\x04MQTT\x04\x02\xde\x0c\x00\x05H3yeV4\x0b\x00\x00 \xeeThafuOE\xb5b9'	b' \x02\x00\x00'	b'20020000'	[]	9
b'101000064d51497364700300038d00024f46643d0e00046730653570d262536e44496ca666'	b'\x10\x10\x00\x06MQIsdp\x03\x00\x03\x8d\x00\x02OFd=\x0e\x00\x04g0e5p\xd2bSnDIl\xa6f'	b' \x02\x00\x00'	b'20020000'	[]	9
b'101100064d514973647003427fbf00000001333d12000250469ee774796175766755526586'	b'\x10\x11\x00\x06MQIsdp\x03B\x7f\xbf\x00\x00\x00\x013=\x12\x00\x02PF\x9e\xe7tyauvgURe\x86'	b' \x02\x00\x02'	b'20020002'	[]	9
b'101200044d5154540402fac3000678484931506d3408000564644d664ccc34a8350600016a4db7'	b'\x10\x12\x00\x04MQTT\x04\x02\xfa\xc3\x00\x06xHI1Pm4\x08\x00\x05ddMfL\xcc4\xa85\x06\x00\x01jM\xb7'	b' \x02\x00\x00'	b'20020000'	[]	9
b'101200064d51497364700302f68700046d613954311100057864585031446b336e6465444fd9'	b'\x10\x12\x00\x06MQIsdp\x03\x02\xf6\x87\x00\x04ma9T1\x11\x00\x05xdXP1Dk3ndeDO\xd9'	b' \x02\x00\x00'	b'20020000'	[]	9
b'101200064d5149736470030030180004493648673d0f0000b83332323659726830376f6dba30'	b'\x10\x12\x00\x06MQIsdp\x03\x000\x18\x00\x04I6Hg=\x0f\x00\x00\xb83226Yrh07om\xba0'	b' \x02\x00\x00'	b'20020000'	[]	9
b'100f00044d5154540402eb0b0003704f754c3911000e7a69733864783764343437717932'	b'\x10\x0f\x00\x04MQTT\x04\x02\xeb\x0b\x00\x03pOuL9\x11\x00\x0ezis8dx7d447qy2'	b' \x02\x00\x00'	b'20020000'	[]	9
b'101200044d5154540402813d00065075716b79343c0b00057559526e36d3c9713355a26880'	b'\x10\x12\x00\x04MQTT\x04\x02\x81=\x00\x06Puqky4<\x0b\x00\x05uYRn6\xd3\xc9q3U\xa2h\x80'	b' \x02\x00\x00P\x02\xd3\xc9'	b'200200005002d3c9'	[]	10
b'101200064d514973647003002117000464324d61321000024233bc8673686c3366465969d420'	b'\x10\x12\x00\x06MQIsdp\x03\x00!\x17\x00\x04d2Ma2\x10\x00\x02B3\xbc\x86shl3fFYi\xd4 '	b' \x02\x00\x00@\x02\xbc\x86'	b'200200004002bc86'	[]	11
b'101100044d51545404005dc400054b43537752330f000037b97467456278486562466c8f20'	b'\x10\x11\x00\x04MQTT\x04\x00]\xc4\x00\x05KCSwR3\x0f\x00\x007\xb9tgEbxHebFl\x8f '	b' \x02\x00\x00'	b'20020000'	[]	11
b'100f00044d5154540400aceb00034532500e330e0004684b6138c06d3079486e436e4b2960'	b'\x10\x0f\x00\x04MQTT\x04\x00\xac\xeb\x00\x03E2P\x0e3\x0e\x00\x04hKa8\xc0m0yHnCnK)`'	b' \x02\x00\x00'	b'20020000'	[]	11
b'100e00044d5154540400749300024b725d55340a00054a55685567918c303392471100'	b'\x10\x0e\x00\x04MQTT\x04\x00t\x93\x00\x02Kr]U4\n\x00\x05JUhUg\x91\x8c03\x92G\x11\x00'	b' \x02\x00\x00'	b'20020000'	[]	11
b'100d00044d5154540402d79700014f674f3b0d0007347079327a6e6e76e57a64285a00'	b'\x10\r\x00\x04MQTT\x04\x02\xd7\x97\x00\x01OgO;\r\x00\x074py2znnv\xe5zd(Z\x00'	b' \x02\x00\x00'	b'20020000'	[]	11
b'101200044d51545404000cf7000648326f444d4f3c0f000075823242537070416a7a3744e283'	b'\x10\x12\x00\x04MQTT\x04\x00\x0c\xf7\x00\x06H2oDMO<\x0f\x00\x00u\x822BSppAjz7D\xe2\x83'	b' \x02\x00\x00'	b'20020000'	[]	11
b'100d00044d5154540400c9cf000177d745483d11000d694341696641617334663831406f'	b'\x10\r\x00\x04MQTT\x04\x00\xc9\xcf\x00\x01w\xd7EH=\x11\x00\riCAifAas4f81@o'	b' \x02\x00\x00'	b'20020000'	[]	11
b'101200064d5149736472030000a20000026231310e0000514c6a7233336454506a5531620c'	b'\x10\x12\x00\x06MQIsdr\x03\x00\x00\xa2\x00\x00\x02b11\x0e\x00\x00QLjr33dTPjU1b\x0c'	b''	b''	[]	11
b'101100044d5154540402df3700053775383577330e0000b56b56356378644b44546439fa00'	b'\x10\x11\x00\x04MQTT\x04\x02\xdf7\x00\x057u85w3\x0e\x00\x00\xb5kV5cxdKDTd9\xfa\x00'	b' \x02\x00\x00'	b'20020000'	[]	11
b'100f00044d5154540402c76a00034a6e4948340d0001364edb4e314843445475763196ff'	b'\x10\x0f\x00\x04MQTT\x04\x02\xc7j\x00\x03JnIH4\r\x00\x016N\xdbN1HCDTuv1\x96\xff'	b' \x02\x00\x00'	b'20020000'	[]	11
b'101200064d51497364700300022d00044a5567383d0c00056651383327bf62787250793410e0'	"b""\x10\x12\x00\x06MQIsdp\x03\x00\x02-\x00\x04JUg8=\x0c\x00\x05fQ83'\xbfbxrPy4\x10\xe0"""	b' \x02\x00\x00'	b'20020000'	[]	11
b'100f00044d515454040009050003394363250035080001338c3b5938704139c700a380f0'	b'\x10\x0f\x00\x04MQTT\x04\x00\t\x05\x00\x039Cc%\x005\x08\x00\x013\x8c;Y8pA9\xc7\x00\xa3\x80\xf0'	b' \x02\x00\x00'	b'20020000'	[]	11
b'101200044d515454040065b60006554d6f3731743c0c00008de84863484e55683962e3a390'	b'\x10\x12\x00\x04MQTT\x04\x00e\xb6\x00\x06UMo71t<\x0c\x00\x00\x8d\xe8HcHNUh9b\xe3\xa3\x90'	b' \x02\x00\x00'	b'20020000'	[]	11
b'100e00044d5154540402329c00024b59c4c0310e000d776f617a6c5052435432477035e3'	b'\x10\x0e\x00\x04MQTT\x04\x022\x9c\x00\x02KY\xc4\xc01\x0e\x00\rwoazlPRCT2Gp5\xe3'	b' \x02\x00\x00'	b'20020000'	[]	11
b'101200044d5154540442fa5a00024b4c00026b6a3a0d0005435839795111ce42637a68713948'	b'\x10\x12\x00\x04MQTT\x04B\xfaZ\x00\x02KL\x00\x02kj:\r\x00\x05CX9yQ\x11\xceBczhq9H'	b' \x02\x00\x00'	b'20020000'	[]	11
